iter	Passed	Remaining
0	58	58436
1	58	29332
2	59	19632
3	59	14778
4	59	11868
5	59	9929
6	60	8543
7	60	7500
8	60	6688
9	61	6042
10	61	5512
11	61	5070
12	61	4697
13	62	4375
14	62	4096
15	62	3852
16	62	3636
17	63	3444
18	63	3273
19	63	3119
20	63	2979
21	64	2851
22	64	2735
23	64	2629
24	64	2533
25	65	2443
26	65	2359
27	65	2282
28	65	2209
29	66	2143
30	66	2080
31	66	2021
32	67	1965
33	67	1912
34	67	1862
35	67	1815
36	68	1771
37	68	1729
38	68	1688
39	68	1650
40	69	1614
41	69	1580
42	69	1546
43	69	1514
44	69	1485
45	70	1457
46	70	1429
47	70	1403
48	70	1377
49	71	1353
50	71	1330
51	71	1307
52	71	1286
53	72	1265
54	72	1245
55	72	1226
56	73	1208
57	73	1190
58	73	1172
59	73	1156
60	74	1139
61	74	1123
62	74	1107
63	74	1093
64	75	1078
65	75	1064
66	75	1051
67	75	1035
68	75	1022
69	76	1010
70	76	997
71	76	985
72	76	974
73	76	963
74	77	952
75	77	941
76	77	931
77	77	921
78	78	911
79	78	901
80	78	891
81	78	882
82	79	873
83	79	864
84	79	854
85	79	846
86	79	836
87	79	828
88	80	820
89	80	813
90	80	805
91	80	798
92	81	791
93	81	784
94	81	777
95	81	770
96	82	763
97	82	756
98	82	750
99	82	744
100	82	738
101	83	730
102	83	724
103	83	719
104	83	713
105	83	708
106	84	702
107	84	697
108	84	692
109	84	686
110	85	681
111	85	676
112	85	671
113	85	666
114	86	662
115	86	656
116	86	652
117	86	648
118	86	643
119	87	638
120	87	634
121	87	630
122	87	625
123	87	621
124	88	617
125	88	613
126	88	609
127	88	604
128	89	601
129	89	597
130	89	593
131	89	590
132	89	586
133	90	583
134	90	579
135	90	576
136	90	572
137	91	568
138	91	565
139	91	562
140	91	559
141	92	556
142	92	552
143	92	549
144	92	547
145	93	543
146	93	541
147	93	538
148	93	535
149	93	532
150	94	529
151	94	527
152	94	524
153	94	521
154	95	519
155	95	516
156	95	513
157	95	511
158	96	508
159	96	506
160	96	503
161	96	501
162	97	498
163	97	496
164	97	493
165	97	491
166	98	489
167	98	486
168	98	484
169	98	482
170	99	479
171	99	477
172	99	475
173	99	473
174	99	471
175	100	469
176	100	467
177	100	465
178	100	462
179	101	460
180	101	458
181	101	456
182	101	454
183	102	452
184	102	450
185	102	448
186	102	446
187	102	444
188	103	442
189	103	440
190	103	439
191	103	437
192	104	435
193	104	433
194	104	432
195	104	430
196	105	428
197	105	426
198	105	425
199	105	423
200	106	421
201	106	419
202	106	418
203	106	416
204	106	414
205	107	413
206	107	411
207	107	409
208	107	408
209	108	406
210	108	404
211	108	403
212	108	401
213	108	400
214	109	398
215	109	396
216	109	395
217	109	393
218	110	392
219	110	390
220	110	389
221	110	387
222	110	386
223	111	385
224	111	383
225	111	382
226	111	381
227	112	379
228	112	378
229	112	376
230	112	375
231	113	374
232	113	372
233	113	371
234	113	370
235	114	369
236	114	367
237	114	366
238	114	365
239	114	364
240	115	362
241	115	361
242	115	360
243	115	358
244	116	357
245	116	356
246	116	355
247	116	354
248	117	353
249	117	351
250	117	350
251	117	349
252	117	348
253	118	347
254	118	345
255	118	344
256	118	343
257	119	342
258	119	341
259	119	340
260	119	339
261	120	338
262	120	337
263	120	336
264	120	334
265	120	333
266	121	332
267	121	331
268	121	330
269	121	329
270	122	328
271	122	327
272	122	326
273	122	325
274	123	324
275	123	323
276	123	322
277	123	321
278	124	320
279	124	319
280	124	318
281	124	317
282	124	316
283	125	315
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	310
290	126	309
291	127	308
292	127	307
293	127	306
294	127	305
295	128	304
296	128	303
297	128	302
298	128	301
299	129	301
300	129	300
301	129	299
302	129	298
303	129	297
304	130	296
305	130	295
306	130	294
307	130	294
308	131	293
309	131	292
310	131	291
311	131	290
312	132	289
313	132	289
314	132	288
315	132	287
316	132	286
317	133	285
318	133	284
319	133	283
320	133	283
321	134	282
322	134	281
323	134	280
324	134	279
325	134	279
326	135	278
327	135	277
328	135	276
329	135	275
330	136	274
331	136	274
332	136	273
333	136	272
334	136	271
335	137	271
336	137	270
337	137	269
338	137	269
339	138	268
340	138	267
341	138	266
342	138	266
343	139	265
344	139	264
345	139	263
346	139	263
347	140	262
348	140	261
349	140	261
350	140	260
351	141	259
352	141	258
353	141	258
354	141	257
355	141	256
356	142	256
357	142	255
358	142	254
359	142	253
360	143	253
361	143	252
362	143	251
363	143	251
364	144	250
365	144	249
366	144	249
367	144	248
368	145	247
369	145	247
370	145	246
371	145	245
372	145	245
373	146	244
374	146	243
375	146	243
376	146	242
377	147	242
378	147	241
379	147	240
380	147	240
381	148	239
382	148	238
383	148	238
384	148	237
385	149	237
386	149	236
387	149	235
388	149	235
389	150	234
390	150	234
391	150	233
392	150	232
393	150	232
394	151	231
395	151	230
396	151	230
397	151	229
398	152	229
399	152	228
400	152	227
401	152	227
402	153	226
403	153	226
404	153	225
405	153	224
406	154	224
407	154	223
408	154	223
409	154	222
410	154	222
411	155	221
412	155	220
413	155	220
414	155	219
415	156	219
416	156	218
417	156	218
418	156	217
419	157	217
420	157	216
421	157	215
422	157	215
423	158	214
424	158	214
425	158	213
426	158	213
427	159	212
428	159	212
429	159	211
430	159	210
431	159	210
432	160	209
433	160	209
434	160	208
435	160	208
436	161	207
437	161	207
438	161	206
439	161	206
440	162	205
441	162	204
442	162	204
443	162	203
444	163	203
445	163	202
446	163	202
447	163	201
448	163	201
449	164	200
450	164	200
451	164	199
452	164	199
453	165	198
454	165	198
455	165	197
456	165	197
457	166	196
458	166	196
459	166	195
460	166	195
461	167	194
462	167	194
463	167	193
464	167	193
465	168	192
466	168	192
467	168	191
468	168	191
469	169	190
470	169	190
471	169	189
472	169	189
473	169	188
474	170	188
475	170	187
476	170	187
477	170	186
478	171	186
479	171	185
480	171	185
481	171	184
482	172	184
483	172	183
484	172	183
485	172	182
486	173	182
487	173	181
488	173	181
489	173	180
490	174	180
491	174	179
492	174	179
493	174	179
494	174	178
495	175	178
496	175	177
497	175	177
498	175	176
499	176	176
500	176	175
501	176	175
502	176	174
503	177	174
504	177	173
505	177	173
506	177	172
507	178	172
508	178	171
509	178	171
510	178	171
511	179	170
512	179	170
513	179	169
514	179	169
515	179	168
516	180	168
517	180	167
518	180	167
519	180	166
520	181	166
521	181	166
522	181	165
523	181	165
524	182	164
525	182	164
526	182	163
527	182	163
528	182	162
529	183	162
530	183	162
531	183	161
532	183	161
533	184	160
534	184	160
535	184	159
536	184	159
537	185	158
538	185	158
539	185	158
540	185	157
541	185	157
542	186	156
543	186	156
544	186	155
545	186	155
546	187	154
547	187	154
548	187	154
549	187	153
550	188	153
551	188	152
552	188	152
553	188	151
554	189	151
555	189	151
556	189	150
557	189	150
558	189	149
559	190	149
560	190	149
561	190	148
562	190	148
563	191	147
564	191	147
565	191	146
566	191	146
567	192	146
568	192	145
569	192	145
570	192	144
571	193	144
572	193	143
573	193	143
574	193	143
575	193	142
576	194	142
577	194	141
578	194	141
579	194	141
580	195	140
581	195	140
582	195	139
583	195	139
584	196	139
585	196	138
586	196	138
587	196	137
588	197	137
589	197	137
590	197	136
591	197	136
592	197	135
593	198	135
594	198	135
595	198	134
596	198	134
597	199	133
598	199	133
599	199	133
600	199	132
601	200	132
602	200	131
603	200	131
604	200	131
605	201	130
606	201	130
607	201	129
608	201	129
609	201	129
610	202	128
611	202	128
612	202	127
613	202	127
614	203	127
615	203	126
616	203	126
617	203	126
618	204	125
619	204	125
620	204	124
621	204	124
622	205	124
623	205	123
624	205	123
625	205	122
626	205	122
627	206	122
628	206	121
629	206	121
630	206	120
631	207	120
632	207	120
633	207	119
634	207	119
635	208	119
636	208	118
637	208	118
638	208	117
639	209	117
640	209	117
641	209	116
642	209	116
643	210	116
644	210	115
645	210	115
646	210	114
647	210	114
648	211	114
649	211	113
650	211	113
651	211	113
652	212	112
653	212	112
654	212	111
655	212	111
656	213	111
657	213	110
658	213	110
659	213	110
660	214	109
661	214	109
662	214	109
663	214	108
664	214	108
665	215	107
666	215	107
667	215	107
668	215	106
669	216	106
670	216	106
671	216	105
672	216	105
673	217	105
674	217	104
675	217	104
676	217	103
677	218	103
678	218	103
679	218	102
680	218	102
681	218	102
682	219	101
683	219	101
684	219	101
685	219	100
686	220	100
687	220	99
688	220	99
689	220	99
690	221	98
691	221	98
692	221	98
693	221	97
694	222	97
695	222	97
696	222	96
697	222	96
698	223	96
699	223	95
700	223	95
701	223	95
702	224	94
703	224	94
704	224	93
705	224	93
706	224	93
707	225	92
708	225	92
709	225	92
710	225	91
711	226	91
712	226	91
713	226	90
714	226	90
715	227	90
716	227	89
717	227	89
718	227	89
719	228	88
720	228	88
721	228	88
722	228	87
723	229	87
724	229	86
725	229	86
726	229	86
727	230	85
728	230	85
729	230	85
730	230	84
731	230	84
732	231	84
733	231	83
734	231	83
735	231	83
736	232	82
737	232	82
738	232	82
739	232	81
740	233	81
741	233	81
742	233	80
743	233	80
744	234	80
745	234	79
746	234	79
747	234	79
748	234	78
749	235	78
750	235	78
751	235	77
752	235	77
753	236	77
754	236	76
755	236	76
756	236	76
757	237	75
758	237	75
759	237	75
760	237	74
761	238	74
762	238	74
763	238	73
764	238	73
765	238	72
766	239	72
767	239	72
768	239	71
769	239	71
770	240	71
771	240	70
772	240	70
773	240	70
774	241	69
775	241	69
776	241	69
777	241	68
778	242	68
779	242	68
780	242	67
781	242	67
782	242	67
783	243	66
784	243	66
785	243	66
786	243	66
787	244	65
788	244	65
789	244	65
790	244	64
791	245	64
792	245	64
793	245	63
794	245	63
795	246	63
796	246	62
797	246	62
798	246	62
799	246	61
800	247	61
801	247	61
802	247	60
803	247	60
804	248	60
805	248	59
806	248	59
807	248	59
808	249	58
809	249	58
810	249	58
811	249	57
812	250	57
813	250	57
814	250	56
815	250	56
816	251	56
817	251	55
818	251	55
819	251	55
820	251	54
821	252	54
822	252	54
823	252	53
824	252	53
825	253	53
826	253	52
827	253	52
828	253	52
829	254	52
830	254	51
831	254	51
832	254	51
833	255	50
834	255	50
835	255	50
836	255	49
837	255	49
838	256	49
839	256	48
840	256	48
841	256	48
842	257	47
843	257	47
844	257	47
845	257	46
846	258	46
847	258	46
848	258	45
849	258	45
850	259	45
851	259	45
852	259	44
853	259	44
854	259	44
855	260	43
856	260	43
857	260	43
858	260	42
859	261	42
860	261	42
861	261	41
862	261	41
863	262	41
864	262	40
865	262	40
866	262	40
867	263	39
868	263	39
869	263	39
870	263	39
871	263	38
872	264	38
873	264	38
874	264	37
875	264	37
876	265	37
877	265	36
878	265	36
879	265	36
880	265	35
881	266	35
882	266	35
883	266	34
884	266	34
885	267	34
886	267	34
887	267	33
888	267	33
889	268	33
890	268	32
891	268	32
892	268	32
893	268	31
894	269	31
895	269	31
896	269	30
897	269	30
898	270	30
899	270	30
900	270	29
901	270	29
902	271	29
903	271	28
904	271	28
905	271	28
906	271	27
907	272	27
908	272	27
909	272	26
910	272	26
911	273	26
912	273	26
913	273	25
914	273	25
915	274	25
916	274	24
917	274	24
918	274	24
919	275	23
920	275	23
921	275	23
922	275	22
923	275	22
924	276	22
925	276	22
926	276	21
927	276	21
928	277	21
929	277	20
930	277	20
931	277	20
932	277	19
933	278	19
934	278	19
935	278	19
936	278	18
937	279	18
938	279	18
939	279	17
940	279	17
941	280	17
942	280	16
943	280	16
944	280	16
945	280	16
946	281	15
947	281	15
948	281	15
949	281	14
950	282	14
951	282	14
952	282	13
953	282	13
954	283	13
955	283	13
956	283	12
957	283	12
958	284	12
959	284	11
960	284	11
961	284	11
962	284	10
963	285	10
964	285	10
965	285	10
966	285	9
967	286	9
968	286	9
969	286	8
970	286	8
971	287	8
972	287	7
973	287	7
974	287	7
975	288	7
976	288	6
977	288	6
978	288	6
979	288	5
980	289	5
981	289	5
982	289	5
983	289	4
984	290	4
985	290	4
986	290	3
987	290	3
988	291	3
989	291	2
990	291	2
991	291	2
992	292	2
993	292	1
994	292	1
995	292	1
996	293	0
997	293	0
998	293	0
999	293	0
